"local/unknown",2013-08-09T08:21:03+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:22:46+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:24:46+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:24:50+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:25:10+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:25:21+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:26:34+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:26:45+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:26:55+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:27:05+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:36:23+02:00,26,"xss csrf id rfe lfi sqli","GET.m=%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php%3Fm%3D%253Cscript%253Ealert%28%27xx%27%29%253C%2Fscript%253E","127.0.0.2"
"local/unknown",2013-08-09T09:09:52+02:00,5,"sqli id","POST.query=test%27%27%27%27%27select%20%20%2A%20%20from%20%20mysql.user","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T09:10:02+02:00,5,"sqli id","POST.query=test%27%27%27%27%27select%20%20%2A%20%20from%20%20mysql.user","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T09:10:07+02:00,5,"sqli id","POST.query=test%27%27%27%27%27select%20%20%2A%20%20from%20%20mysql.user","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T09:10:09+02:00,5,"sqli id","POST.query=test%27%27%27%27%27select%20%20%2A%20%20from%20%20mysql.user","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T09:10:12+02:00,5,"sqli id","POST.query=test%27%27%27%27%27select%20%20%2A%20%20from%20%20mysql.user","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T09:10:14+02:00,5,"sqli id","POST.query=test%27%27%27%27%27select%20%20%2A%20%20from%20%20mysql.user","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T09:10:18+02:00,5,"sqli id","POST.query=test%27%27%27%27%27select%20%20%2A%20%20from%20%20mysql.user","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"192.168.1.100",2013-08-10T19:12:55+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:13:24+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:13:53+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:01+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:03+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:04+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:06+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:07+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:08+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:09+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:21+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:21+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:21+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:21+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:22+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:23+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:23+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:23+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:23+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:23+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:24+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:24+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:24+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:24+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:25+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:25+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:25+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:25+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:25+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:26+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:26+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:26+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:26+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:26+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:27+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:27+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:27+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:27+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:28+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:28+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:28+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:28+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"192.168.1.100",2013-08-10T19:14:28+02:00,8,"xss csrf id rfe lfi","POST.query=admin%3Cscript%3E","%2Fsocialengineer%2Fsearch.php","192.168.1.101"
"219.217.226.6",2013-08-10T21:51:26+02:00,8,"xss csrf id rfe lfi","POST.query=linkunc%3Cscript%3E","%2FSocialEngineer%2Fsearch.php","192.168.1.101"
"219.217.226.6",2013-08-10T21:53:47+02:00,8,"xss csrf id rfe lfi","POST.query=linkunc%3Cscript%3E","%2FSocialEngineer%2Fsearch.php","192.168.1.101"
"local/unknown",2013-08-10T22:39:45+02:00,5,"id rfe xss","POST.query=xuejie00166%4021cn.com%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%2500","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-10T22:40:04+02:00,5,"id rfe xss","POST.query=xuejie00166%4021cn.com%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%2501","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-10T22:40:31+02:00,5,"id rfe xss","POST.query=xuejie00166%4021cn.com%2501","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-10T22:40:38+02:00,3,"xss csrf id","POST.query=xuejie00166%4021cn.com--","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"175.44.45.61",2013-08-11T11:35:20+02:00,8,"xss csrf id rfe lfi","GET.query=admin%3Cscript%3E","%2FSocialEngineer%2Fsearch.php%3Fcallback%3D%26callback%3DjQuery190048180405679158866_1376213585366%26m%3D2%26dbs%255B%255D%3Dcsdn%26dbs%255B%255D%3Discc%26cols%255B%255D%3Dusername%26cols%255B%255D%3Dpassword%26cols%255B%255D%3Dmail%26colsdesc%255B%255D%3D%25E7%2594%25A8%25E6%2588%25B7%25E5%2590%258D%26colsdesc%255B%255D%3D%25E5%25AF%2586%25E7%25A0%2581%26colsdesc%255B%255D%3D%25E9%2582%25AE%25E7%25AE%25B1%26st%3Dusername%26sm%3D2%26query%3Dadmin%253Cscript%253E%26page%3D1%26_%3D1376213585372","192.168.1.101"
"175.44.45.61",2013-08-11T11:54:13+02:00,8,"xss csrf id rfe lfi","GET.query=admin%3Cscript%3E","%2FSocialEngineer%2Fsearch.php%3Fcallback%3D%26callback%3DjQuery19007308632920030504_1376214587256%26m%3D2%26dbs%255B%255D%3Dcsdn%26dbs%255B%255D%3Discc%26cols%255B%255D%3Dusername%26cols%255B%255D%3Dpassword%26cols%255B%255D%3Dmail%26colsdesc%255B%255D%3D%25E7%2594%25A8%25E6%2588%25B7%25E5%2590%258D%26colsdesc%255B%255D%3D%25E5%25AF%2586%25E7%25A0%2581%26colsdesc%255B%255D%3D%25E9%2582%25AE%25E7%25AE%25B1%26st%3Dusername%26sm%3D2%26query%3Dadmin%253Cscript%253E%26page%3D1%26_%3D1376214587260","192.168.1.101"
"220.181.129.93",2013-08-12T03:52:16+02:00,7,"sqli id lfi","POST.query=admin%27","%2FSocialEngineer%2Fsearch.php","192.168.1.101"
"220.181.129.102",2013-08-12T03:52:22+02:00,7,"sqli id lfi","POST.query=admin%27g","%2FSocialEngineer%2Fsearch.php","192.168.1.101"
"220.181.129.93",2013-08-12T03:52:34+02:00,7,"sqli id lfi","POST.query=admin%27g","%2FSocialEngineer%2Fsearch.php","192.168.1.101"
"local/unknown",2013-08-25T20:40:29+02:00,7,"sqli id lfi","POST.query=admin%27","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
